Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
54;21100901156;"Journal of Reliable Intelligent Environments";journal;"21994668, 21994676";"Springer International Publishing AG";No;No;0,874;Q2;29;31;75;1533;358;63;5,29;49,45;25,00;0;8;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2025";"Computer Science (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Computer Science; Energy"
55;24354;"Journal of Automated Reasoning";journal;"15730670, 01687433";"Springer Netherlands";No;No;0,873;Q2;64;40;129;1534;229;120;1,74;38,35;13,27;0;0;Netherlands;Western Europe;"Springer Netherlands";"1985-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Software (Q2)";"Computer Science"
56;15703;"Knowledge and Information Systems";journal;"02191377, 02193116";"Springer London";No;No;0,860;Q2;100;188;401;10651;1497;401;3,79;56,65;28,20;0;18;United Kingdom;Western Europe;"Springer London";"1999-2025";"Information Systems (Q1); Artificial Intelligence (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
57;24157;"Autonomous Agents and Multi-Agent Systems";journal;"15737454, 13872532";"Springer Netherlands";No;No;0,855;Q2;82;47;154;2461;564;150;3,83;52,36;23,20;1;7;Netherlands;Western Europe;"Springer Netherlands";"1998-2025";"Artificial Intelligence (Q2)";"Computer Science"
58;21101081506;"Journal of Financial Data Science";journal;"26403951, 26403943";"With intelligence";No;No;0,854;Q2;16;35;106;980;276;103;2,24;28,00;7,95;0;2;United Kingdom;Western Europe;"With intelligence";"2019-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance"
59;21101111783;"Smart Agricultural Technology";journal;"27723755";"Elsevier B.V.";Yes;No;0,849;Q2;33;304;69;14469;533;68;7,72;47,60;22,34;11;163;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Agricultural and Biological Sciences; Computer Science"
60;24361;"Journal of Intelligent Information Systems";journal;"15737675, 09259902";"Springer Netherlands";No;No;0,835;Q2;68;76;167;3376;757;165;4,68;44,42;29,05;0;8;Netherlands;Western Europe;"Springer Netherlands";"1992-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
61;21100781972;"Progress in Artificial Intelligence";journal;"21926360, 21926352";"Springer Nature";No;No;0,828;Q2;32;22;84;1212;418;84;2,80;55,09;15,38;0;9;Germany;Western Europe;"Springer Nature";"2012-2025";"Artificial Intelligence (Q2)";"Computer Science"
62;21101020112;"Big Data and Cognitive Computing";journal;"25042289";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,820;Q2;44;183;279;9997;1651;278;5,76;54,63;30,93;5;48;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Information Systems (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
63;12358;"International Journal of Fuzzy Systems";journal;"15622479, 21993211";"Springer International Publishing AG";No;No;0,817;Q2;67;202;586;8970;2470;575;4,13;44,41;29,96;0;33;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
